Category,Resume
Project Manager,Scrum/kanban
Project Manager,Waterfall methodology
Project Manager,Jira/trello/Asana
Project Manager,Microsoft Project/ Microsoft Teams/slack
Project Manager,Project Management Professional(PMP)
Project Manager,Certified Scrum Master (CSM)
Project Manager,Risk Management/ Stakeholder Management
Project Manager,Resource and Change Management
Project Manager,PRINCE2 certificate
Project Manager,Data Analysis/ Technical Knowledge
Project Manager,Certified Scrum Master (CSM)
Project Manager,Risk Management/ Stakeholder Management
Project Manager,Resource and Change Management
Project Manager,PRINCE2 certificate
Project Manager,Data Analysis/ Technical Knowledge
Project Manager,Certified Scrum Master (CSM)
Project Manager,Risk Management/ Stakeholder Management
Project Manager,Resource and Change Management
Project Manager,PRINCE2 certificate
Project Manager,Data Analysis/ Technical Knowledge
Project Manager,Certified Agile Practitioner/Agile Certified Practitioner 
Project Manager,Adaptibility/ Collaboration
Project Manager,Budgeting and Cost Management
Front end,html/javascript/CSS
Front end,React.js/Angular/Vur.js
Front end, Bootstrap/ Tailwind CSS
Front end,Webpack/Gulp
Front end,Jest/Mocha
Front end,Git
Front end,UI/UX design Principles
Front end,Cross browser Compatibility / Media Queriesx
Front end,Problem Solving/ Time Management
Front end,Jest/Mocha
Front end,Git
Front end,UI/UX design Principles
Front end,Cross browser Compatibility / Media Queriesx
Front end,Problem Solving/ Time Management
Front end,Jest/Mocha
Front end,Git
Front end,UI/UX design Principles
Front end,Cross browser Compatibility / Media Queriesx
Front end,Problem Solving/ Time Management
Front end,Browser Developer Tools
Backend,"Python, java , Node.js"
Backend,"SQL, NoSQL"
Backend,"Django, Express.js, Spring"
Backend,"RESTful APIs, GraphQL"
Backend,Git
Backend,"Kafka, RabbitMQ"
Backend,"Redis, Memcached"
Backend,"AWS, GCP, Azure"
Backend,"Docker, Kubernetes"
Backend,"JUnit, Jest"
Backend,"Kafka, RabbitMQ"
Backend,"Redis, Memcached"
Backend,"AWS, GCP, Azure"
Backend,"Docker, Kubernetes"
Backend,"JUnit, Jest"
Backend,"Kafka, RabbitMQ"
Backend,"Redis, Memcached"
Backend,"AWS, GCP, Azure"
Backend,"Docker, Kubernetes"
Backend,"JUnit, Jest"
Embedded,C/C++
Embedded,ARM/AVR/RISC
Embedded,Embedded Systems Design/ Electronics Fundamentals
Embedded,Assembly Language/ embedded C
Embedded,PCB Design/ KiCad/ Altium
Embedded,FPGA/Xilinx Vivado/ Cadence
Embedded,Signal Processing/ I2C/SPI
Embedded,RTOS/Linux
Embedded,JTAG debuggers/ logic Analysers
Embedded,Unit Testing/HIL testing
Embedded,Functional Safety/ Embedded Safety
Embedded,Signal Processing/ I2C/SPI
Embedded,RTOS/Linux
Embedded,JTAG debuggers/ logic Analysers
Embedded,Unit Testing/HIL testing
Embedded,Functional Safety/ Embedded Safety
Embedded,Signal Processing/ I2C/SPI
Embedded,RTOS/Linux
Embedded,JTAG debuggers/ logic Analysers
Embedded,Unit Testing/HIL testing
Embedded,Functional Safety/ Embedded Safety
AI/ML,"Python,Git"
AI/ML,Tensorflow/Pytorch
AI/ML,Linear Algebra/Calculus
AI/ML,Deep Learning Frameworks/ keras
AI/ML,AWS SageMaker/ Google Cloud AI Platform
AI/ML,Azure Machine Learning
AI/ML,Hadoop/Spark
AI/ML,SpaCy/TextBlob
AI/ML," Docker, Kubernetes"
AI/ML,AWS SageMaker/ Google Cloud AI Platform
AI/ML,Azure Machine Learning
AI/ML,Hadoop/Spark
AI/ML,SpaCy/TextBlob
AI/ML," Docker, Kubernetes"
AI/ML,AWS SageMaker/ Google Cloud AI Platform
AI/ML,Azure Machine Learning
AI/ML,Hadoop/Spark
AI/ML,SpaCy/TextBlob
AI/ML," Docker, Kubernetes"
AI/ML,OpenCV/CUDA
python Developer,python liabrary/numpy/pandas/matplolib/requests/beautiful soap
python Developer,GUI development
python Developer,Python Scripting/Programming
python Developer,Ubuntu/Fedora/Cent OS/Windows Databasex
python Developer,SQLAlchemy/JSON/agile/Web Services/Urllib
python Developer,python liabrary/numpy/pandas/matplolib/requests/beautiful soap
python Developer,GUI development
python Developer,Python Scripting/Programming
python Developer,Ubuntu/Fedora/Cent OS/Windows Databasex
python Developer,SQLAlchemy/JSON/agile/Web Services/Urllib
python Developer,python liabrary/numpy/pandas/matplolib/requests/beautiful soap
python Developer,GUI development
python Developer,Python Scripting/Programming
python Developer,Ubuntu/Fedora/Cent OS/Windows Databasex
python Developer,SQLAlchemy/JSON/agile/Web Services/Urllib
python Developer,python liabrary/numpy/pandas/matplolib/requests/beautiful soap
python Developer,GUI development
python Developer,Python Scripting/Programming
python Developer,Ubuntu/Fedora/Cent OS/Windows Databasex
python Developer,SQLAlchemy/JSON/agile/Web Services/Urllib
HR,PF/ESIC
HR,PT/Gratuity/TDS
HR,Salary Processing/ compensation and benefits administration
HR,Statutory Compliance Management
HR,Payroll Management/Performance Management
HR,joining formalities/ Salary opening account formalities
HR,Requritment and Selection
HR,PF/ESIC
HR,PT/Gratuity/TDS
HR,Salary Processing/ compensation and benefits administration
HR,Statutory Compliance Management
HR,Payroll Management/Performance Management
HR,joining formalities/ Salary opening account formalities
HR,Requritment and Selection
HR,PF/ESIC
HR,PT/Gratuity/TDS
HR,Salary Processing/ compensation and benefits administration
HR,Statutory Compliance Management
HR,Payroll Management/Performance Management
HR,joining formalities/ Salary opening account formalities
HR,Requritment and Selection
